evidence_id,restaurant_id,player_name,kia_context,relation_type,recommendation_context,source_title,source_url,source_published_at,source_origin,source_directness,confidence,verification_status,notes
evidence-001,kia-food-001,윤영철,KIA 타이거즈 선수,official_curation,떡볶이 대통령 추천 식당으로 수록,광주광역시 온라인뉴스 - 선수들이 선정한 타슐랭 가이드,https://newscms.gwangju.go.kr/gallery.es?act=view&bid=0009&cg_code=C01&list_no=5120&mid=a40200000000,2026-03-26,광주광역시 공식 온라인뉴스,공식 지자체 2차 큐레이션,medium-high,official_secondary_confirmed,
evidence-002,kia-food-002,윤영철,KIA 타이거즈 선수,official_curation,왕뼈사랑 추천 식당으로 수록,광주광역시 온라인뉴스 - 선수들이 선정한 타슐랭 가이드,https://newscms.gwangju.go.kr/gallery.es?act=view&bid=0009&cg_code=C01&list_no=5120&mid=a40200000000,2026-03-26,광주광역시 공식 온라인뉴스,공식 지자체 2차 큐레이션,medium-high,official_secondary_confirmed,
evidence-003,kia-food-003,최지민,KIA 타이거즈 선수,official_curation,돈구이 불붙었네 추천 식당으로 수록,광주광역시 온라인뉴스 - 선수들이 선정한 타슐랭 가이드,https://newscms.gwangju.go.kr/gallery.es?act=view&bid=0009&cg_code=C01&list_no=5120&mid=a40200000000,2026-03-26,광주광역시 공식 온라인뉴스,공식 지자체 2차 큐레이션,medium-high,official_secondary_confirmed,
evidence-004,kia-food-004,최지민,KIA 타이거즈 선수,official_curation,차돌집 추천 식당으로 수록,광주광역시 온라인뉴스 - 선수들이 선정한 타슐랭 가이드,https://newscms.gwangju.go.kr/gallery.es?act=view&bid=0009&cg_code=C01&list_no=5120&mid=a40200000000,2026-03-26,광주광역시 공식 온라인뉴스,공식 지자체 2차 큐레이션,medium-high,official_secondary_confirmed,
evidence-005,kia-food-005,최지민,KIA 타이거즈 선수,official_curation,25시참숯구이 추천 식당으로 수록,광주광역시 온라인뉴스 - 선수들이 선정한 타슐랭 가이드,https://newscms.gwangju.go.kr/gallery.es?act=view&bid=0009&cg_code=C01&list_no=5120&mid=a40200000000,2026-03-26,광주광역시 공식 온라인뉴스,공식 지자체 2차 큐레이션,medium-high,official_secondary_confirmed,
evidence-008,kia-food-008,김도현,KIA 타이거즈 선수,official_curation,시골집 추천 식당으로 수록,광주광역시 온라인뉴스 - 선수들이 선정한 타슐랭 가이드,https://newscms.gwangju.go.kr/gallery.es?act=view&bid=0009&cg_code=C01&list_no=5120&mid=a40200000000,2026-03-26,광주광역시 공식 온라인뉴스,공식 지자체 2차 큐레이션,medium-high,official_secondary_confirmed,
evidence-009,kia-food-009,양현종,KIA 타이거즈 선수,official_curation,돈의 맛 추천 식당으로 수록,광주광역시 온라인뉴스 - 선수들이 선정한 타슐랭 가이드,https://newscms.gwangju.go.kr/gallery.es?act=view&bid=0009&cg_code=C01&list_no=5120&mid=a40200000000,2026-03-26,광주광역시 공식 온라인뉴스,공식 지자체 2차 큐레이션,medium-high,official_secondary_confirmed,
evidence-010,kia-food-010,양현종,KIA 타이거즈 선수,official_curation,당산나무집 추천 식당으로 수록,광주광역시 온라인뉴스 - 선수들이 선정한 타슐랭 가이드,https://newscms.gwangju.go.kr/gallery.es?act=view&bid=0009&cg_code=C01&list_no=5120&mid=a40200000000,2026-03-26,광주광역시 공식 온라인뉴스,공식 지자체 2차 큐레이션,medium-high,official_secondary_confirmed,
evidence-015,kia-food-015,송후섭,KIA 타이거즈 선수,official_curation,명화식육식당 추천 식당으로 수록,광주광역시 온라인뉴스 - 선수들이 선정한 타슐랭 가이드,https://newscms.gwangju.go.kr/gallery.es?act=view&bid=0009&cg_code=C01&list_no=5120&mid=a40200000000,2026-03-26,광주광역시 공식 온라인뉴스,공식 지자체 2차 큐레이션,medium-high,official_secondary_confirmed,
evidence-016,kia-food-016,김석환,KIA 타이거즈 선수,official_curation,산수쌈밥 추천 식당으로 수록,광주광역시 온라인뉴스 - 선수들이 선정한 타슐랭 가이드,https://newscms.gwangju.go.kr/gallery.es?act=view&bid=0009&cg_code=C01&list_no=5120&mid=a40200000000,2026-03-26,광주광역시 공식 온라인뉴스,공식 지자체 2차 큐레이션,medium-high,official_secondary_confirmed,
evidence-018,kia-food-018,이태규,KIA 타이거즈 선수,official_curation,광주보쌈 추천 식당으로 수록,광주광역시 온라인뉴스 - 선수들이 선정한 타슐랭 가이드,https://newscms.gwangju.go.kr/gallery.es?act=view&bid=0009&cg_code=C01&list_no=5120&mid=a40200000000,2026-03-26,광주광역시 공식 온라인뉴스,공식 지자체 2차 큐레이션,medium-high,official_secondary_confirmed,
evidence-019,kia-food-019,이의리,KIA 타이거즈 선수,official_curation,여수식육점 추천 식당으로 수록,광주광역시 온라인뉴스 - 선수들이 선정한 타슐랭 가이드,https://newscms.gwangju.go.kr/gallery.es?act=view&bid=0009&cg_code=C01&list_no=5120&mid=a40200000000,2026-03-26,광주광역시 공식 온라인뉴스,공식 지자체 2차 큐레이션,medium-high,official_secondary_confirmed,
evidence-020,kia-food-020,김도영,KIA 타이거즈 선수,official_curation,송정떡갈비 추천 식당으로 수록,광주광역시 온라인뉴스 - 선수들이 선정한 타슐랭 가이드,https://newscms.gwangju.go.kr/gallery.es?act=view&bid=0009&cg_code=C01&list_no=5120&mid=a40200000000,2026-03-26,광주광역시 공식 온라인뉴스,공식 지자체 2차 큐레이션,medium-high,official_secondary_confirmed,
evidence-021,kia-food-021,최원준,KIA 타이거즈 선수,official_curation,숯과닭발 추천 식당으로 수록,광주광역시 온라인뉴스 - 선수들이 선정한 타슐랭 가이드,https://newscms.gwangju.go.kr/gallery.es?act=view&bid=0009&cg_code=C01&list_no=5120&mid=a40200000000,2026-03-26,광주광역시 공식 온라인뉴스,공식 지자체 2차 큐레이션,medium-high,official_secondary_confirmed,
evidence-022,kia-food-022,유승철,KIA 타이거즈 선수,official_curation,만리장성 추천 식당으로 수록,광주광역시 온라인뉴스 - 선수들이 선정한 타슐랭 가이드,https://newscms.gwangju.go.kr/gallery.es?act=view&bid=0009&cg_code=C01&list_no=5120&mid=a40200000000,2026-03-26,광주광역시 공식 온라인뉴스,공식 지자체 2차 큐레이션,medium-high,official_secondary_confirmed,
evidence-023,kia-food-023,홍재호,KIA 타이거즈 선수,official_curation,대광식당 추천 식당으로 수록,광주광역시 온라인뉴스 - 선수들이 선정한 타슐랭 가이드,https://newscms.gwangju.go.kr/gallery.es?act=view&bid=0009&cg_code=C01&list_no=5120&mid=a40200000000,2026-03-26,광주광역시 공식 온라인뉴스,공식 지자체 2차 큐레이션,medium-high,official_secondary_confirmed,
evidence-024,kia-food-024,이종범,KIA 타이거즈 선수,official_curation,전통나주곰탕 추천 식당으로 수록,광주광역시 온라인뉴스 - 선수들이 선정한 타슐랭 가이드,https://newscms.gwangju.go.kr/gallery.es?act=view&bid=0009&cg_code=C01&list_no=5120&mid=a40200000000,2026-03-26,광주광역시 공식 온라인뉴스,공식 지자체 2차 큐레이션,medium-high,official_secondary_confirmed,
evidence-006,kia-food-006,황동하,KIA 타이거즈 선수,direct_recommendation,인터뷰에서 삼일집을 광주 맛집으로 직접 언급,더그아웃 인터뷰 - KIA 황동하의 광주 맛집,https://v.daum.net/v/Ux1v2ge7AY,2025-03,더그아웃 인터뷰,선수 직접 인터뷰,high,direct_source_confirmed,
evidence-007a,kia-food-007,나성범,KIA 타이거즈 선수,direct_recommendation,구단 콘텐츠 관련 기사에서 농성화로와 선호 메뉴가 소개됨,무등일보 - 나성범의 광주 맛집,https://www.mdilbo.com/detail/xQQILD/719211,2024-05,구단 콘텐츠 인용 보도,선수 출연 콘텐츠를 인용한 기사,medium-high,cross_checked,
evidence-007b,kia-food-007,김선빈,KIA 타이거즈 선수,direct_recommendation,인터뷰에서 농성화로를 두 번째 추천 식당으로 직접 언급,김선빈 인터뷰 - 광주 맛집 추천,https://m.mdilbo.com/detail/F6ACgr/737969,2025-02-03,무등일보 인터뷰,선수 직접 인터뷰,high,direct_source_confirmed,
evidence-007c,kia-food-007,변우혁,KIA 타이거즈 선수,direct_recommendation,인터뷰에서 농성화로를 직접 추천,변우혁 인터뷰 - 농성화로 추천,https://v.daum.net/v/0knL6v5Jdi,2023,더그아웃 인터뷰,선수 직접 인터뷰,high,direct_source_confirmed,
evidence-011,kia-food-011,김건국,KIA 타이거즈 선수,direct_recommendation,지인에게 이대포땔나무집을 추천한 상황이 기사에 소개됨,무등일보 - 김건국이 추천한 광주 맛집,https://www.mdilbo.com/detail/RFD998/745100,2025-07-14,무등일보,선수 추천 상황을 취재한 기사,medium-high,cross_checked,
evidence-012,kia-food-012,김선빈,KIA 타이거즈 선수,direct_recommendation,인터뷰에서 이헌한우를 첫 번째 광주 맛집으로 직접 추천,김선빈 인터뷰 - 광주 맛집 추천,https://m.mdilbo.com/detail/F6ACgr/737969,2025-02-03,무등일보 인터뷰,선수 직접 인터뷰,high,direct_source_confirmed,
evidence-013,kia-food-013,곽도규,KIA 타이거즈 선수,regular,방송 공식 기사에서 곽도규의 단골집으로 소개,MBC 전지적 참견 시점 - 곽도규 단골집,https://enews.imbc.com/Tpl/View/441350,2024-12-21,MBC 공식 기사,방송 공식 기사,high,direct_source_confirmed,
evidence-014a,kia-food-014,한승택,KIA 타이거즈 선수,official_curation,진식당 추천 식당으로 광주시 가이드에 수록,광주광역시 온라인뉴스 - 선수들이 선정한 타슐랭 가이드,https://newscms.gwangju.go.kr/gallery.es?act=view&bid=0009&cg_code=C01&list_no=5120&mid=a40200000000,2026-03-26,광주광역시 공식 온라인뉴스,공식 지자체 2차 큐레이션,medium-high,official_secondary_confirmed,
evidence-014b,kia-food-014,김호령,KIA 타이거즈 선수,direct_recommendation,KIA 공식 웹진 답변에서 진식당을 직접 추천,KIA 타이거즈 공식 웹진 - 김호령 추천 식당,https://tigers.co.kr/files/webzine/2020/05/12/20200512100453.303-c02a8ca35192.2005.pdf,2020-05,KIA 타이거즈 공식 웹진,구단 공식 웹진 선수 답변,high,direct_source_confirmed,
evidence-017a,kia-food-017,김호령,KIA 타이거즈 선수,official_curation,맛찬들왕소금구이 추천 식당으로 광주시 가이드에 수록,광주광역시 온라인뉴스 - 선수들이 선정한 타슐랭 가이드,https://newscms.gwangju.go.kr/gallery.es?act=view&bid=0009&cg_code=C01&list_no=5120&mid=a40200000000,2026-03-26,광주광역시 공식 온라인뉴스,공식 지자체 2차 큐레이션,medium-high,official_secondary_confirmed,
evidence-017b,kia-food-017,황동하,KIA 타이거즈 선수,direct_recommendation,인터뷰에서 맛찬들왕소금구이를 광주 맛집으로 직접 언급,더그아웃 인터뷰 - KIA 황동하의 광주 맛집,https://v.daum.net/v/Ux1v2ge7AY,2025-03,더그아웃 인터뷰,선수 직접 인터뷰,high,direct_source_confirmed,
evidence-025,kia-food-025,황동하,KIA 타이거즈 선수,direct_recommendation,인터뷰에서 본가네국밥을 정말 맛있다고 직접 추천,더그아웃 인터뷰 - KIA 황동하의 광주 맛집,https://v.daum.net/v/Ux1v2ge7AY,2025-03,더그아웃 인터뷰,선수 직접 인터뷰,high,direct_source_confirmed,
evidence-026,kia-food-026,오선우,KIA 타이거즈 선수,direct_recommendation,인터뷰에서 은진식육식당을 광주 맛집으로 직접 추천,더그아웃 인터뷰 - KIA 오선우의 광주 맛집,https://v.daum.net/v/35PMnqiBLd,2025-07,더그아웃 인터뷰,선수 직접 인터뷰,high,direct_source_confirmed,
