source,source_place_id,name,operating_hours_raw,closed_days_raw,fees_raw,parking_raw,pet_raw,public_transport_raw,source_url
gwangju_tour,nature.cs:2,광주호 호수생태원,09:00 ~ 18:00,없음,없음,주차시설 보유 (180대 주차가능),애견동반 가능,"광주호수생태원 : 충효188 , 충효187 광주호호수생태원 : 충효188 , 충효187 수리 : 충효187 , 충효188 충효동환벽당 : 충효187 , 충효188",https://tour.gwangju.go.kr/home/tour/info/nature.cs?act=view&infoId=2
gwangju_tour,nature.cs:360,무등산 국립공원,04:00~17:00(하절기:16:00),- 봄 철 : 02.15 ∼ 05.15 - 가을철 : 11.01 ∼ 12.15 - 입산통제기간은 무등산 국립공원 홈페이지 공지사항 참고,무료,주차장 있음/유료,,무등산국립공원(원효사) : 1187,https://tour.gwangju.go.kr/home/tour/info/nature.cs?act=view&infoId=360
gwangju_tour,nature.cs:1395,광주시립수목원,09:00 ~ 18:00 ※ 종료 1시간 전 입장 마감,"방문자센터, 전시온실에 대해서는 1월 1일, 설날, 추석 , 매주 월요일을 휴원일로 지정",무료,있음,애견동반 불가능,"효천초교 하차(진월79,진월75,송암68,수완03), 송암동 하차(999,999-1), 향등 하차(대촌170,대촌70,송정99)",https://tour.gwangju.go.kr/home/tour/info/nature.cs?act=view&infoId=1395
gwangju_tour,nature.cs:255,광주천,상시 개방,없음,무료,,,"중앙대교(동) : 금남55 중앙대교(서) : 송암74 , 수완12 , 지원45 광주세무서 : 매월06 , 지원45 , 진월07 , 송암74 , 수완12 , 대촌170 향교 : 송암74 , 대촌170 , 수완12 , 지원45 , 매월06 , 진월07",https://tour.gwangju.go.kr/home/tour/info/nature.cs?act=view&infoId=255
gwangju_tour,nature.cs:1227,뒹굴동굴,(매일) 10:00 ~ 18:00,월요일 휴무,,,,"서남대병원 : 금남55 양림교 : 금남55 문화전당역 : 금남55 , 매월61(세하) , 매월61(칠석) , 1187 , 518 , 송정98 , 문흥80 , 금호36 중앙대교(동) : 금남55",https://tour.gwangju.go.kr/home/tour/info/nature.cs?act=view&infoId=1227
gwangju_tour,nature.cs:1071,너릿재 옛길,연중무휴 24시간,없음,무료,무료,애견동반 가능,"동구문화센터 : 지원152(능주역) , 지원52 , 지원151(화순사평) , 봉선76 , 지원151(화순전남대병원) , 지원25 , 지원15 , 지원45 , 지원152(도웅리) 광주남초교 : 봉선76 , 지원15 , 지원45 , 지원151(화순전남대병원) , 지원152(능주역) , 지원152(도웅리) , 지원151(화순사평) , 지원25 , 지원52 빛고을복지회관 : 봉선76 삼익세라믹 : 지원45 , 지원15 , 지원52 , 지원25 , 지원151(화순사평) , 지원152(도웅리) , 지원151(화순전남대병원) , 지원152(능주역)",https://tour.gwangju.go.kr/home/tour/info/nature.cs?act=view&infoId=1071
gwangju_tour,history.cs:1146,4·19민주혁명 역사관,10:00~18:00,없음,,,,"광주고 : 석곡87 , 문흥39 , 용전184(원천리방향) , 운림54 , 지원151(화순전남대병원) , 매월06 , 419 , 지원151(화순사평) , 용전184(대전면방향) , 송정98 , 518 계림초교후문 : 금남55 계림사거리 : 419 , 석곡87 , 문흥39 , 운림54 4.19기념관 : 518 , 지원151(화순사평) , 금남55 , 송정19 , 송정98 , 지원151(화순전남대병원) , 용봉83",https://tour.gwangju.go.kr/home/tour/info/history.cs?act=view&infoId=1146
gwangju_tour,history.cs:1171,4·19혁명기념관,,없음,,,,"4.19기념관 : 송정19 , 518 , 지원151(화순사평) , 송정98 , 금남55 , 용봉83 , 지원151(화순전남대병원) 계림사거리 : 석곡87 , 419 , 문흥39 , 운림54 서방사거리육교 : 용전184(원천리방향) , 송정19 , 매월06 , 용봉83 , 용전184(대전면방향) , 두암181",https://tour.gwangju.go.kr/home/tour/info/history.cs?act=view&infoId=1171
gwangju_tour,history.cs:1073,5·18민주화운동기록관,평일 : 오전 09:00~18:00 / 토·일·공휴일 : 09:00~18:00 (17:40분 입장마감),"매주 월요일, 1월 1일, 설날, 추석",무료(상설전시실),주차장소가 협소하니 가급적 대중교통을 이용해주세요,애견동반 불가능,"518민주화운동기록관 : 매월61(칠석) , 매월61(세하) , 지원151(화순사평) , 지원151(화순전남대병원) , 송정98 , 1000 예술의거리입구 : 용전184(대전면방향) , 수완49 , 대촌70 , 송암74 , 용전184(원천리방향) , 문흥39 , 매월06 , 대촌170 , 금남57 , 지원151(화순사평) , 419 , 좌석02 , 금남58 , 송정98 , 지원151(화순전남대병원) , 진월07 국립아시아문화전당(구.도청) : 1000 , 수완12 , 좌석02 , 지원151(화순사평) , 지원45 , 금남55 , 지원151(화순전남대병원) , 1187 , 운림51 , 문흥80 , 송정98 , 518 , 매월61(세하) , 매월61(칠석) , 첨단95 , 첨단09 , 금호36 , 금남59",https://tour.gwangju.go.kr/home/tour/info/history.cs?act=view&infoId=1073
gwangju_tour,history.cs:140,고원희 가옥,상시개방,없음,,없음,,,https://tour.gwangju.go.kr/home/tour/info/history.cs?act=view&infoId=140
