source,source_place_id,name,operating_hours_raw,closed_days_raw,fees_raw,parking_raw,pet_raw,public_transport_raw,source_url
tourapi,2783851,경암근린공원,상시 개방,연중무휴,,가능,,,
tourapi,127069,관덕정의 각궁,06:00~22:00,매주 일요일,,,,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaKdcd=79&ccbaAsno=06940000&ccbaCtcd=24&pageNo=1_1_1_0
tourapi,128158,광주 경찰충혼탑,상시 개방,연중무휴,,불가능,,,https://tour.gwangju.go.kr/home/tour/info/history.cs?act=view&infoId=1266
tourapi,2605353,광주 송정동 떡갈비 골목,매장 별 상이,매장 별 상이,,매장 별 상이,,,https://tour.gwangju.go.kr/home/tour/info/village/003.cs?act=view&infoId=695&category=003&searchCondition=&searchKeyword=&pageIndex=1
tourapi,2822573,광주 수완호수공원,상시 개방,연중무휴,,가능,,,
tourapi,127325,광주 충효동 왕버들 군,상시 개방,연중무휴,,가능,,,https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaKdcd=16&ccbaAsno=05390000&ccbaCtcd=24&pageNo=1_1_1_0
tourapi,2489843,광주 평촌마을,상시 개방,매주 월요일,,가능,,,https://tour.gwangju.go.kr/home/tour/info/village/002.cs?act=view&infoId=1282
tourapi,2605351,광주폴리,상시 개방,연중무휴,,,,,http://gwangjufolly.org/
tourapi,126329,광주호,상시 개방,연중무휴,,가능 (약 180대),,,https://tour.gwangju.go.kr/home/tour/info/nature.cs?act=view&infoId=2
tourapi,126425,국립 5·18 민주묘지,09:00~18:00 (입장 마감 17:00),연중무휴,,가능,,,https://www.mpva.go.kr/518/index.do
tourapi,1621334,금남로,상시 개방,연중무휴,,,,,
tourapi,127356,너릿재공원,상시 개방,연중무휴,,가능,,,https://tour.gwangju.go.kr/home/tour/info/park/003.cs?act=view&infoId=1284&category=003&searchCondition=&searchKeyword=&pageIndex=2
tourapi,2470068,녹색에너지체험관 (광주전남지역본부),10:00~17:00 (점심시간 12:00~13:00),매주 주말 / 법정 공휴일,,가능,,,https://dco.energy.or.kr/green/
tourapi,2614773,덕산너덜 (무등산권 국가지질공원),상시 개방,연중무휴,,,,,http://geopark.gwangju.go.kr/gallery.do?S=S01&M=010301000000&b_code=0000000007&v_type=SK3&b_list=16&mod=view&list_no=26&nPage=1&vlist_no_npage=0&keyField=&keyWord=&orderby=REG_DATE
tourapi,1620893,도림사(광주),상시 개방,연중무휴,,불가능,,,https://www.grandculture.net/gwangju/toc/GC60001435
tourapi,2565865,동리단길 카페거리,매장별 상이,매장별 상이,,매장별 상이,,,https://tour.gwangju.go.kr/home/tour/info/village/002.cs?act=view&infoId=56&category=002&searchCondition=&searchKeyword=&pageIndex=1
tourapi,1620808,두남제,상시 개방,연중무휴,,불가능,,,
tourapi,3353800,뜻모아센터,09:00~18:00,매주 일요일 /  법정 공휴일,,가능 (5대)<br>요금 (무료),,,
tourapi,2614783,무등산 정상3봉 (무등산 국가지질공원),상시 개방,연중무휴,,가능,,,http://geopark.gwangju.go.kr/gallery.do?S=S01&M=010301000000&b_code=0000000007&v_type=SK3&b_list=16&mod=view&list_no=32&nPage=1&vlist_no_npage=0&keyField=&keyWord=&orderby=REG_DATE
tourapi,1074432,무등산 주상절리대,"- 동절기 (11월~3월) 04:00~16:00<br>
- 하절기 (4월~10월) 04:00~17:00",연중무휴,,가능,,,https://www.donggu.kr/tour/M0000016/tour/view.do
tourapi,1621168,고싸움놀이전수교육관,,,무료 (체험 활동 비용 별도),,,,http://www.gossaum.com/
tourapi,130032,광산문화원,,,,,,,http://gjgwangsan.kccf.or.kr
