"source","source_place_id","hashtags","nature","culture","art","food","activity","sports","healing","festival","semantic_text","taxonomy_version","labeling_method","labeling_confidence","labeling_evidence","reviewed_at"
"tourapi","2783851","#문화관광|#도시공원|#근린공원|#자연|#숲|#체험|#가족체험|#스포츠|#힐링|#산책","0.75","0.0","0.0","0.0","0.0","0.0","0.75","0.0","경암근린공원 도심 속에서 숲을 접하고 자연 속에서 힐링할 수 있는 경암근린공원은 다양한 체육활동을 할 수 있는 다목적 운동장과 함께 광장, 어린이 놀이터 등이 갖추어져 있으며, 잘 정돈된 산책로와 휴게시설도 마련되어 있다. 또한, 유아 숲체험원이 조성되어 있어 어린이들이 자연 속에서 다양한 놀이와 함께 자연을 직접 체험할 수 있고, 어린이들이 좋아할 만한 조형물 및 다양한 체험시설을 갖추고 있어 어린이와 함께 나들이하기에 좋다. 그뿐만 아니라 보행 약자를 위한 무장애 나눔 길이 설치되어 있어 거동이 불편한 보행 약자들도 쉽고 편하게 숲을 체험하고 안전하게 산책할 수 있다. #문화관광 #도시공원 #근린공원 #자연 #숲 #체험 #가족체험 #스포츠 #힐링 #산책","1.0.0","import","0.57","[{""source"": ""tourapi"", ""source_url"": """", ""note"": ""규칙 기반 라벨 초안. 사람 교차검수 필요""}]",""
"tourapi","127069","#역사관광|#역사유물|#기타역사유물|#전통|#체험|#스포츠|#공원","0.0","0.5","0.0","0.0","0.5","0.5","0.0","0.0","관덕정의 각궁 정신과 신체를 동시에 건강하게 해주는, 관덕정의 각궁 궁술은 무사뿐만이 아니라 선비들도 반드시 익혀야 할 필수 요건이었다. 이러한 활이 요즘에는 생존이나 방비 기능은 완전히 상실하여 스포츠와 취미로 그 명맥을 이어가고 있다. 전남광주통합특별시에도 스포츠와 취미로서 활의 명맥을 이어주는 곳이 있는데, 사직공원에 있는 활터 관덕정이 그것이다. 관덕정의 사범이자 지역에서는 유일하게 활을 만들고 있는 권태은 씨는 호라의 고장으로 널리 알려진 경북 예천이 고향으로 3대째 활을 만들고 있는데, 전남광주통합특별시에 자리를 잡은 것은 23년 전이다. 경상도에서 활을 만들면 팔러 나가는 곳이 대부분 전라도이므로 아예 옮겨와 활을 만들기 시작했다는 권 씨의 이야기다. 옛날에는 활의 재료와 쓰임새에 따라 무척 다양했지만 요즘에는 각궁만이 남아 그 명맥을 유지해 주고 있다. 전통이 실려있는 각궁이란 후궁·장궁(長弓)이라고도 하는데 각궁의 모양은 시대에 따라 조금씩의 차이가 있다. 크게 2종류로 나눌 수 있는데, 전쟁이나 사냥에 쓰인 것은 궁간상(弓幹桑)·뿔·힘줄·아교·실·칠 등 6가지로 만들고, 운동이나 오락으로 쓰인 것은 궁간상·참나무·대·벚나무·뿔·힘줄·아교 등 7가지로 만들었다. 강(强)·중(中)·연(軟)의 구별이 있어서, 남녀 누구나 자신의 힘에 맞는 것을 쓸 수 있었다. #역사관광 #역사유물 #기타역사유물 #전통 #체험 #스포츠 #공원","1.0.0","import","0.45","[{""source"": ""tourapi"", ""source_url"": ""https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaKdcd=79&ccbaAsno=06940000&ccbaCtcd=24&pageNo=1_1_1_0"", ""note"": ""규칙 기반 라벨 초안. 사람 교차검수 필요""}]",""
"tourapi","128158","#역사관광|#역사유물|#탑ㆍ비석ㆍ기념탑|#정원|#공원","0.5","0.25","0.0","0.0","0.0","0.0","0.0","0.0","광주 경찰충혼탑 경찰충혼답은 전남광주통합특별시 사직공원에 위치해 있는 탑으로 높이가 약 14m에 이른다. 광주공원 입구의 계단을 한참 오르다 보면 나타난다. 이 탑은 여순 사건과 한국전쟁 등 당시 국가를 위해 목숨을 바친 전남광주통합특별시 출신 순국 경찰관 3,196명의 위패를 봉안하고 있다. 경찰충혼탑은 원래 1956년 전남도청 앞 상무관 정원에 건립되었는데 시간이 지나 탑이 붕괴 위험에 처해졌고, 이것을 1981년 10월 23일 현재의 위치(사구동 177번지)에 이전 건립하여 지금에 이르고 있다. #역사관광 #역사유물 #탑ㆍ비석ㆍ기념탑 #정원 #공원","1.0.0","import","0.42","[{""source"": ""tourapi"", ""source_url"": ""https://tour.gwangju.go.kr/home/tour/info/history.cs?act=view&infoId=1266"", ""note"": ""규칙 기반 라벨 초안. 사람 교차검수 필요""}]",""
"tourapi","2822573","#문화관광|#도시공원|#주제공원|#호수.강|#공연|#가족체험|#산책|#공원|#행사/축제|#야간","0.75","0.0","0.5","0.0","0.0","0.0","0.75","0.0","광주 수완호수공원 도시계획을 통해 성장한 수완동 안의 공원으로 위치와 접근성이 뛰어나다. O체어, 벤치그네 등 시민들이 아이들과 함께 재밌게 접할 수 있는 조형물들이 있다. 밤이면 조형물 사이의 전구들과 조형물 자체에서 빛이 나 은은하고 따뜻한 분위기를 만끽할 수 있다. 호수를 가운데 두어 춤추는 분수를 매시 정각마다 즐길 수 있고 그 주변으로 산책길이 잘 조성되어 있다. 공원 주변으로 대형마트들을 비롯한 다양한 상가들이 있어 편의성도 갖추고 있다. 공연무대가 있어 각종 행사진행이 가능하다. #문화관광 #도시공원 #주제공원 #호수.강 #공연 #가족체험 #산책 #공원 #행사/축제 #야간","1.0.0","import","0.57","[{""source"": ""tourapi"", ""source_url"": """", ""note"": ""규칙 기반 라벨 초안. 사람 교차검수 필요""}]",""
"tourapi","127325","#자연관광|#자연생태|#희귀동.식물|#정원|#역사|#느린여행|#주차가능","0.75","0.5","0.0","0.0","0.0","0.0","0.5","0.0","광주 충효동 왕버들 군 광주호 동쪽 호안(湖岸)과 충효동 마을 사이의 도로변에 위치한 왕버들나무는 버들과의 딸린 갈잎 큰 키나무이다. 암수 나무가 딴 그루를 이루며, 4월에 꽃이 피고 열매는 5월에 익는다. 우리나라 경기도 이남 지역과 일부 중부 이남 지역, 중국 중부 지역에 분포하며 풍치림(風致林)과 정자목(亭子木)으로 널리 사랑을 받고 있다. 물가나 들에서 자라며, 목재는 가구와 땔감 등으로 쓰인다. 충효동의 왕버들 3그루는 모두 광주시 나무로 지정되어 있는데 원래는 일송·일매·오류(一松·一梅·五柳)라 하여 마을의 상징 조경수였다고 한다. 그러나 매화와 왕버들 1그루는 말라죽었으며, 또 1그루의 왕버들과 소나무는 마을 앞 도로를 확·포장하면서 잘라 버려 지금은 왕버들 3그루만 남아 있다. 마을에서는 다시 왕버들 2그루를 식목하였으며, 소나무와 매화도 계속 식목할 계획을 가지고 있다. 충효동의 역사는 분명치 않으나 예부터 성이 있어 성안 또는 석저촌(石低村)이라 불려 왔다. 이 일대는 임진왜란 이전에 이미 양산보(梁山甫)의 소쇄원(瀟灑苑)을 비롯하여 김윤제(金允悌)의 환벽당(環璧堂), 김성원(金成遠)의 식영정(息影亭)과 누하당(樓霞堂) 등의 원림(苑林) 정각(亭閣)이 많이 있어, 주변 조경에 많은 영향을 주었던 곳이다. #자연관광 #자연생태 #희귀동.식물 #정원 #역사 #느린여행 #주차가능","1.0.0","import","0.42","[{""source"": ""tourapi"", ""source_url"": ""https://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaKdcd=16&ccbaAsno=05390000&ccbaCtcd=24&pageNo=1_1_1_0"", ""note"": ""규칙 기반 라벨 초안. 사람 교차검수 필요""}]",""
"tourapi","2489843","#체험관광|#농.산.어촌 체험|#체험마을|#자연|#무등산|#역사|#전통|#예술|#공방|#공방체험","0.75","0.0","0.0","0.0","0.0","0.0","0.75","0.0","광주 평촌마을 평촌마을은 무등산 북쪽 자락에 자리하고 있는 동림, 담안, 우성, 닭뫼 4개의 자연마을로 형성된 아담하고 한적한 농촌마을이다. 마을 들녘에는 평무뜰이 있어 친환경 우렁이쌀을 재배하고 있으며, 마을 중심으로 흐르는 풍암천에는 도심에서는 이미 자취가 사라진 반딧불이와 무등산의 깃대종인 수달(천연기념물)이 서식하고 있어 우수한 자연생태를 지니고 있는 지역이다. 조선시대에는 이곳 평촌마을이 분청사기를 만들었던 곳으로 남도의 예술적 혼을 지니고 있는 지역이기도 하다. 현재 마을에 있는 평촌 도예공방이 그 전통을 이어가고 있다. 마을 길목에는 무돌길 쉼터와 반디민박이 있어 마을을 지나는 이들과 무등산을 찾는 탐방객들에게 편안한 휴식처가 되고 있다. #체험관광 #농.산.어촌 체험 #체험마을 #자연 #무등산 #역사 #전통 #예술 #공방 #공방체험","1.0.0","import","0.6","[{""source"": ""tourapi"", ""source_url"": ""https://tour.gwangju.go.kr/home/tour/info/village/002.cs?act=view&infoId=1282"", ""note"": ""규칙 기반 라벨 초안. 사람 교차검수 필요""}]",""
"tourapi","126329","#자연관광|#자연경관(하천‧해양)|#호수|#자연|#무등산|#역사|#교육|#힐링|#공원|#주차가능","1.0","0.5","0.0","0.0","0.5","0.5","0.75","0.0","광주호 광주호는 1976년 완공된 이래 전남광주통합특별시와 담양군 일대 농업용수로 활용하고 있는 인공 호수다. 무등산 아래에 위치하여 주변의 수려한 자연경관과 조화를 이룬 호반 휴양지로서, 어족이 풍부해 낚시터로도 각광을 받아 많은 휴양인파가 찾는다. 광주호 상류 충효동 일대에는 송강 정철의 가사문학 유적지인 식영정을 비롯해 환벽당, 소쇄원, 취가정, 독수정 등의 정자가 자리 잡고 있어 조선시대 정원문화의 진수를 보여 주고 있다. 광주호 남쪽으로는 2006년 개장한 호수생태원이 있어 시민들의 자연생태학습과 휴식공간으로 사랑받고 있다. #자연관광 #자연경관(하천‧해양) #호수 #자연 #무등산 #역사 #교육 #힐링 #공원 #주차가능","1.0.0","import","0.6","[{""source"": ""tourapi"", ""source_url"": ""https://tour.gwangju.go.kr/home/tour/info/nature.cs?act=view&infoId=2"", ""note"": ""규칙 기반 라벨 초안. 사람 교차검수 필요""}]",""
"tourapi","126425","#역사관광|#역사유적지|#고분, 능|#민주인권|#전시|#체험|#야경|#아이동반|#주차가능","0.0","0.75","0.0","0.0","0.0","0.0","0.0","0.0","국립 5·18 민주묘지 1980년에 일어난 광주민주화운동의 희생자들이 묻힌 공동 묘지인 국립5·18 민주묘지는 5·18 묘역이라고도 한다. 민주 성지인 전남광주통합특별시의 대표적인 상징으로 묘역 안에는 5·18 영령의 묘가 있으며, 참배 광장, 전시 공간, 상징 조형물, 광주민주화운동 추모탑 등으로 구성되어 있다. 5·18 묘지 중앙에 있는 사각기둥인 탑신은 높이 40m로 우리나라 전통 석조물인 당간지주를 현대감각에 맞게 형상화했다. 탑신 가운데 감싸 쥔 손 모양으로 중앙에 설치된 타원형 형상은 새로운 생명의 부활을 상징하며, 시시각각 변하는 태양광에 반사된 빛은 희망의 씨앗이라고 볼 수 있다. 또한 5·18 추모관은 민주화를 위해 희생한 민주 영령들을 추모하고 그 뜻을 올바르게 계승하기 위해 건립되었다. 5·18민주화운동과 그 희생자 그리고 아직 밝혀지지 않은 진실 등을 객관적으로 이해할 수 있으며, 단순한 관람보다는 직접 참여하여 5·18 실상과 정신을 느낄 수 있는 체험 공간으로 구성되어 있다. ※ 경건한 참배분위기를 위하여 슬리퍼, 민소매 등의 복장은 자제 요망 #역사관광 #역사유적지 #고분, 능 #민주인권 #전시 #체험 #야경 #아이동반 #주차가능","1.0.0","import","0.5","[{""source"": ""tourapi"", ""source_url"": ""https://www.mpva.go.kr/518/index.do"", ""note"": ""규칙 기반 라벨 초안. 사람 교차검수 필요""}]",""
"tourapi","1621334","#문화관광|#도시.지역문화관광|#골목길, 문화거리|#역사|#민주인권|#행사/축제|#시즌한정","0.0","0.75","0.0","0.0","0.5","0.0","0.0","0.0","금남로 전남광주통합특별시 동구에 있는 2.3㎞의 길로 금남로 1~5가로 이루어져 있다. 이중 금남로 1가의 옛 전남도청에서 옛 광주 은행 사거리 518m는 5·18 광주민주화운동 등 한국 현대사의 역사를 간직한 곳으로 2011년 8월 30일 광주시에 의하여 ‘유네스코 민주인권로’로 지정되었다. 금남로는 광주시민이 계엄군에 맞서 5·18 민중항쟁 기간 중 연일 격렬하게 저항했던 항쟁의 거리다. 5월 18일 가톨릭센터 앞에서 최초의 학생 연좌시위가 있었으며 5월 19일부터 수많은 시민들이 끊임없이 모여들어 투쟁의지를 불태웠다. 5월 20일 저녁에는 택시를 중심으로 100대 이상의 각종 차량이 참가한 대규모 시위가 있었다. 21일 계엄군의 집단 발포 전까지 30여 만 광주시민이 매일 운집, 군사독재 저지와 민주화를 촉구했던 금남로는 5·18 민중 항쟁을 상징하는 거리다. 이후에도 항쟁의 진실을 밝히려는 투쟁이 이 거리를 중심으로 전개되었고, 가톨릭센터에서는 민주화를 위한 시민 집회가 계속 열렸다. 지금도 광주에서 진행되는 행사나 집회, 축제 등은 모두 금남로를 거쳐 옛 전남도청(현 국립아시아문화전당)으로 향한다. #문화관광 #도시.지역문화관광 #골목길, 문화거리 #역사 #민주인권 #행사/축제 #시즌한정","1.0.0","import","0.5","[{""source"": ""tourapi"", ""source_url"": """", ""note"": ""규칙 기반 라벨 초안. 사람 교차검수 필요""}]",""
"tourapi","127356","#문화관광|#도시공원|#시민공원|#자연|#숲|#체험|#교육|#힐링|#산책|#시즌한정","1.0","0.0","0.0","0.0","0.0","0.0","0.75","0.0","너릿재공원 너릿재공원은 전남광주통합특별시와 화순 경계선에 있는 공원으로 너릿재 옛길과 유아숲이 함께 있는 곳이다. 너릿재 옛길은 1971년 너릿재 터널이 뚫리기 전까지 아주 오래전부터 전남광주통합특별시와 화순을 잇는 연결도로로 2011년 4월부터 벚꽃길 조성, 배수로 정비, 사면정비, 차량통제, 순환산책로 조성, 편의시설 설치 등 환경을 훼손하지 않고 쾌적한 너릿재 명품숲길로 2012년 7월 재탄생하였다. 벚꽃과 수목이 울창한 치유의 숲으로 가족이 산책하기에 적합한 휴식공간이다. 또한 너릿재 유아숲은 도시의 어린이들이 계절별 자연의 변화를 몸소 체험하고 숲 교육을 통해 정신적, 신체적으로 건강하게 자랄 수 있도록 열린 체험 공간을 조성한 곳으로 숲 속 연못, 곤충 관찰대, 외줄 타기 체험장, 트리하우스 등 다양한 체험 시설과 휴식공간으로 구성되어 있다. #문화관광 #도시공원 #시민공원 #자연 #숲 #체험 #교육 #힐링 #산책 #시즌한정","1.0.0","import","0.6","[{""source"": ""tourapi"", ""source_url"": ""https://tour.gwangju.go.kr/home/tour/info/park/003.cs?act=view&infoId=1284&category=003&searchCondition=&searchKeyword=&pageIndex=2"", ""note"": ""규칙 기반 라벨 초안. 사람 교차검수 필요""}]",""
